EmployeeID,Name,Age,Department,Salary,YearsExperience,PerformanceScore,Gender,HoursPerWeek,Training
1001,Employee_1,50.0,IT,53073.82,22,2.0,Male,38.0,True
1002,Employee_2,36.0,HR,48015.03,17,4.0,Female,46.0,True
1003,Employee_3,29.0,Finance,55877.63,34,1.0,Male,,True
1004,Employee_4,42.0,Marketing,90219.95,14,5.0,Male,,True
1005,Employee_5,40.0,HR,61074.63,24,2.0,Male,45.0,True
1006,Employee_6,44.0,HR,68646.07,27,1.0,Female,40.0,True
1007,Employee_7,32.0,IT,51963.14,9,3.0,Male,41.0,False
1008,Employee_8,32.0,IT,55913.45,16,4.0,Female,58.0,False
1009,Employee_9,45.0,Finance,64707.44,21,1.0,Female,48.0,False
1010,Employee_10,57.0,Marketing,56891.42,25,2.0,Male,58.0,True
1011,Employee_11,45.0,IT,26539.35,24,3.0,Male,45.0,False
1012,Employee_12,24.0,HR,74208.11,16,2.0,Male,47.0,False
1013,Employee_13,43.0,Marketing,45772.99,12,2.0,Female,36.0,False
1014,Employee_14,23.0,Marketing,86669.76,19,3.0,Male,59.0,True
1015,Employee_15,45.0,HR,65302.73,24,2.0,Male,41.0,True
1016,Employee_16,51.0,IT,56064.59,3,3.0,Male,54.0,True
1017,Employee_17,59.0,HR,61589.91,9,,Male,38.0,True
1018,Employee_18,23.0,Marketing,53372.53,2,3.0,Male,42.0,False
1019,Employee_19,42.0,Operations,47703.51,17,3.0,Female,,False
1020,Employee_20,54.0,Operations,,21,4.0,Female,56.0,False
1021,Employee_21,33.0,Finance,68274.86,33,3.0,Male,55.0,False
1022,Employee_22,43.0,HR,48032.05,7,3.0,Male,53.0,True
1023,Employee_23,46.0,HR,45666.44,18,1.0,Male,47.0,True
1024,Employee_24,48.0,Finance,49667.67,5,4.0,Male,48.0,True
1025,Employee_25,49.0,Finance,69280.17,25,5.0,Female,44.0,False
1026,Employee_26,37.0,Finance,76788.25,33,1.0,Male,45.0,True
1027,Employee_27,36.0,Marketing,60430.21,5,1.0,Female,36.0,True
1028,Employee_28,24.0,HR,63719.71,32,5.0,Female,59.0,False
1029,Employee_29,58.0,Marketing,45554.49,21,3.0,Male,43.0,False
1030,Employee_30,28.0,Finance,68151.32,20,2.0,Female,51.0,True
1031,Employee_31,42.0,HR,63276.06,5,4.0,Female,37.0,True
1032,Employee_32,30.0,Marketing,,5,2.0,Female,58.0,True
1033,Employee_33,39.0,Marketing,28184.93,3,5.0,Female,,True
1034,Employee_34,25.0,Finance,36691.45,29,1.0,Male,39.0,True
1035,Employee_35,46.0,HR,44961.96,10,1.0,Male,39.0,True
1036,Employee_36,35.0,Finance,72429.06,29,4.0,Female,56.0,False
1037,Employee_37,30.0,HR,78292.9,30,1.0,Male,49.0,False
1038,Employee_38,47.0,Operations,48407.23,23,1.0,Male,57.0,False
1039,Employee_39,23.0,IT,48881.27,8,4.0,Male,51.0,True
1040,Employee_40,41.0,IT,,2,4.0,Male,43.0,False
1041,Employee_41,49.0,IT,55182.2,30,5.0,Male,37.0,True
