City,PM2_5,NO2,CO,Temperature,Humidity
Chennai,73.15705089512562,42.948949142326946,1.599,18.4,66.5
Delhi,87.51335866720322,47.32408792731587,1.667,25.3,56.5
Kolkata,71.45697917684865,57.091761524234904,2.189,17.4,51.2
Mumbai,68.97089692812435,51.81176238936072,1.743,31.4,58.2
Delhi,79.72900397206371,57.72401304247195,1.949,21.1,85.8
Kolkata,112.61831991908115,49.77252193630982,1.703,26.8,97.1
Bangalore,72.70787619469276,59.03028880232387,1.265,28.7,64.7
Delhi,87.3142743699238,47.51847435440756,1.529,26.0,70.0
Mumbai,57.38607145527823,52.16219028307775,1.838,15.1,80.0
Delhi,75.6780539598242,53.173004081443885,2.089,27.1,69.1
Kolkata,65.0116389330271,54.28651855614522,1.054,22.4,89.4
Chennai,87.48742040067427,54.72022862898704,1.922,19.3,68.7
Kolkata,87.49188506136137,58.070974563424656,1.416,17.1,67.8
Delhi,36.29652448612057,40.552466074530805,1.726,32.9,61.2
Kolkata,55.04634337743267,43.71517026179014,1.788,27.4,65.3
Kolkata,55.550966335177776,54.322526459934835,1.476,21.5,68.9
Chennai,67.86104426337882,50.948164958825174,1.376,29.1,63.7
Mumbai,84.22173798940238,41.384089590021254,1.567,31.0,47.3
Delhi,85.1663345741993,34.66963021271333,1.793,30.8,55.5
Delhi,83.94264596686666,56.29125631301551,1.861,33.6,53.9
Delhi,114.87533883663522,52.261714119377,1.592,29.7,78.3
Chennai,26.81658459905921,32.9209854056802,1.188,30.2,65.4
Bangalore,98.73586399016094,62.83636870861285,1.372,34.4,52.5
Kolkata,107.42436120495898,48.95267713187301,1.675,16.9,83.3
Kolkata,56.528383906829475,48.421358992603494,1.329,23.2,100.0
Bangalore,97.90843713653067,52.43080214541781,1.558,33.3,82.5
Mumbai,107.39317678534006,50.08361569947108,1.352,26.3,93.6
Bangalore,52.12156151626941,46.46770447306959,2.029,24.1,90.6
Delhi,75.32121020957894,55.591528075294875,1.643,34.4,31.8
Bangalore,101.04175887181776,46.47632982261647,1.049,31.3,91.8
Bangalore,77.99889137773526,53.66425408620228,1.686,25.8,62.3
Bangalore,59.24875524740233,52.73589424338047,0.824,25.4,68.5
Mumbai,31.264146029758138,60.48535837258181,0.779,28.3,82.8
Chennai,89.06105582039868,54.67723357128824,1.732,33.5,87.5
Mumbai,52.863188109049645,67.05651597526177,1.733,30.3,72.8
Delhi,70.94705068087087,61.09130767586599,1.679,26.6,90.6
Chennai,93.57372233517415,64.76243205030359,1.923,22.4,84.9
Delhi,51.884212752903075,46.92445224865903,0.954,34.8,38.0
Kolkata,66.63258611566982,55.998420073504214,1.802,29.6,80.7
Chennai,93.82543198993322,35.39470699181882,1.385,24.8,68.3
Delhi,81.65120813992188,63.205099063561484,1.718,14.3,56.0
Chennai,56.377873585039865,53.68635052939148,1.593,33.0,23.5
Delhi,57.462687782799506,45.816892175284465,2.272,22.1,48.3
Bangalore,80.23963671448911,62.97697613024177,0.807,24.1,71.1
Chennai,98.69741231404805,46.809670120160135,2.056,29.2,59.4
Kolkata,100.55521908929053,47.6526893246805,1.741,26.1,68.2
Delhi,73.90548719362742,74.02688861021447,1.55,42.8,68.8
Chennai,83.72978524176945,47.867033468114,1.611,27.7,65.2
Chennai,60.334010937540945,58.296483507463094,1.946,26.1,71.5
Mumbai,130.90767493212618,54.389544957604244,1.114,27.5,66.4
Kolkata,82.54412678948944,50.1024619049878,1.586,32.5,55.9
Bangalore,98.15121233341813,55.7689572331704,1.278,28.9,55.7
Kolkata,57.25409624882296,40.81309385088423,1.235,29.3,86.4
Chennai,56.5308311284889,76.94334228846591,1.817,37.5,62.8
Mumbai,78.35452861964652,65.2764194762742,1.554,19.0,69.7
Chennai,107.0405828517703,41.001253085858195,1.666,23.3,41.0
Delhi,61.587318221904425,57.94583022959219,1.697,26.6,74.1
Delhi,70.371732996312,53.210861030556366,1.311,28.9,60.9
Kolkata,63.373038046384345,42.924999231459026,1.305,26.8,53.7
Kolkata,74.63712784942587,34.474706877237125,1.531,34.8,87.5
Chennai,92.68453451465192,43.56863947909548,1.649,26.4,76.3
Mumbai,95.66326969145699,42.305031654325305,1.072,21.3,61.9
Chennai,71.08684886547655,42.70650489105066,0.801,16.6,59.7
Chennai,89.61671144145447,45.84594306065252,2.2,25.6,58.9
Delhi,107.61626734750453,40.53164861990274,0.829,26.2,50.6
Kolkata,92.00094452077286,58.97070220534654,2.199,37.2,52.9
Bangalore,74.6695827119189,62.2945483310595,2.289,20.7,45.9
Kolkata,82.52359847150755,61.45391426542184,1.236,25.4,59.9
Bangalore,79.72888380851673,59.3845116191268,1.689,30.4,78.2
Chennai,59.04614848813659,50.43505964649649,1.751,27.7,80.5
Delhi,70.7320179282486,38.757827640383894,1.505,34.7,100.0
Delhi,70.4419834022624,64.29321569130195,1.604,21.3,62.7
Kolkata,78.31642441512389,34.17918614311541,1.575,23.9,69.7
Chennai,103.06295940210862,64.94944762763451,1.3,19.7,68.3
Delhi,70.28964074949651,62.096984982610195,1.205,27.9,48.2
Delhi,59.90570586020773,50.63030795980257,1.182,31.8,47.0
Chennai,79.54650294233322,53.14156751558185,0.949,23.3,78.6
Chennai,79.06639553446931,37.84345514811578,1.013,34.8,43.5
Chennai,76.30841812391301,47.93918348040307,1.578,39.8,63.4
Mumbai,51.19799558973962,54.646597587331925,1.897,25.0,80.3
Bangalore,68.10419285645878,57.92910697682034,1.122,24.8,68.7
Chennai,66.51839770292685,56.46311765818273,1.796,28.9,54.5
Mumbai,93.79656024440962,49.01735789916301,1.819,40.1,59.7
Kolkata,85.20277192250624,55.69165781904621,1.552,19.9,37.0
Mumbai,99.20115673497916,43.17774931579885,1.432,25.6,66.7
Kolkata,62.774615843274546,57.38989210602347,1.643,27.8,75.0
Mumbai,78.85958592123129,40.61335087914983,0.916,31.3,53.9
Kolkata,109.34019150559352,48.29068690483107,1.577,29.7,78.7
Chennai,48.021372341958184,37.00750902221484,1.55,31.6,39.8
Chennai,72.19499664250117,47.333393903019115,1.548,29.2,67.9
Delhi,98.79949074963181,26.7352199534796,1.581,20.0,57.8
Delhi,74.92587092790698,62.738268084953184,1.211,20.1,79.2
Mumbai,60.79291712786351,41.0634180110264,1.756,20.1,84.4
Chennai,103.05434736545034,48.438603997489025,2.248,29.7,69.1
Mumbai,42.92662369814478,31.50140368492117,1.267,33.1,76.6
Mumbai,31.63055288614195,57.34076294933595,1.673,32.9,87.3
Delhi,55.27465184131962,52.25258893385015,1.82,23.3,62.6
Mumbai,77.7370278385378,42.46291003758452,1.325,30.4,42.3
Mumbai,92.31112674295582,49.03108932346233,1.759,32.4,53.2
Kolkata,113.72539967116438,60.40880451226991,1.733,32.0,50.2
Chennai,70.87047558894692,27.03004227901779,1.261,32.9,55.2
Mumbai,98.61039131338427,44.025484025258784,1.025,24.0,67.1
Chennai,81.88746911252086,32.90866764099349,1.516,30.1,52.2
Kolkata,80.97149073925944,35.79035934476344,1.222,34.0,62.8
Kolkata,89.72505291431568,68.77888035509092,1.568,30.3,56.8
