Role,Salary,Department,Experience_Years
Junior,53988.21,Tech,26
Junior,49828.13,Finance,8
Junior,34568.55,Ops,11
Junior,44943.41,Marketing,26
Junior,49194.02,Ops,17
Junior,40139.42,Finance,4
Junior,46792.2,Ops,3
Junior,45732.7,Marketing,21
Junior,45028.97,Tech,21
Junior,43821.45,Finance,12
Junior,47922.93,Marketing,13
Junior,53120.5,Tech,27
Junior,38485.81,Ops,12
Junior,51940.85,Ops,2
Junior,46543.25,Finance,15
Junior,48004.68,Finance,10
Junior,37327.94,Ops,27
Junior,45912.17,Finance,6
Junior,55020.62,Ops,22
Junior,37711.32,Tech,9
Junior,31650.33,Tech,14
Junior,33232.24,Ops,20
Junior,46795.97,Marketing,20
Junior,61098.53,Tech,16
Junior,52584.92,Finance,14
Junior,56290.2,Marketing,24
Junior,45669.26,Finance,12
Junior,54436.48,Marketing,12
Junior,43169.08,Finance,9
Junior,49139.13,Marketing,10
Junior,43195.61,Finance,2
Junior,41292.16,Tech,27
Junior,45895.78,Finance,8
Junior,41786.04,Ops,11
Junior,53832.19,Ops,13
Junior,46316.34,Ops,21
Junior,47701.42,Ops,8
Junior,42720.98,Ops,13
Junior,53481.19,Finance,16
Junior,40059.21,Ops,26
Junior,49456.56,Finance,25
Junior,42631.61,Finance,23
Junior,38658.82,Ops,7
Junior,41696.97,Finance,26
Junior,39569.01,Ops,4
Junior,43564.29,Marketing,0
Junior,42710.8,Ops,19
Junior,47107.15,Marketing,7
Junior,48814.78,Marketing,20
Junior,44004.91,Marketing,20
Mid,64747.42,Ops,17
Mid,67818.67,Tech,4
Mid,59736.18,Ops,12
Mid,71904.56,Ops,20
Mid,73211.69,Tech,12
Mid,66984.91,Ops,2
Mid,88348.36,Tech,16
Mid,73945.22,Marketing,26
Mid,63905.34,Marketing,17
Mid,61468.74,Marketing,6
Mid,62736.22,Ops,5
Mid,60108.14,Ops,12
Mid,76005.66,Tech,0
Mid,58196.35,Marketing,2
Mid,64209.06,Marketing,29
Mid,59839.36,Marketing,0
Mid,75200.28,Marketing,12
Mid,51169.08,Marketing,15
Mid,61465.63,Ops,9
Mid,63811.42,Ops,4
Mid,68113.73,Finance,19
Mid,69493.8,Ops,24
Mid,62896.05,Marketing,23
Mid,74643.46,Tech,6
Mid,68068.85,Ops,26
Mid,89059.6,Tech,25
Mid,50293.87,Finance,24
Mid,71050.86,Tech,13
Mid,54809.96,Tech,15
Mid,57219.41,Finance,24
Mid,84354.57,Ops,7
Mid,82011.94,Ops,28
Mid,46902.19,Ops,12
Mid,62827.96,Tech,11
Mid,64357.98,Tech,25
Mid,44215.81,Marketing,12
Mid,64523.9,Finance,23
Mid,68835.08,Finance,15
Mid,67118.34,Ops,9
Mid,45554.66,Finance,7
Mid,75800.16,Tech,3
Mid,67384.3,Ops,27
Mid,64396.36,Finance,8
Mid,57649.54,Tech,2
Mid,71941.6,Marketing,13
Mid,73953.12,Marketing,5
Mid,60299.59,Ops,24
Mid,65873.48,Finance,7
Mid,73063.24,Tech,20
Mid,45943.51,Marketing,9
Senior,91585.92,Tech,21
Senior,64249.33,Finance,27
Senior,77540.72,Tech,16
Senior,96341.64,Tech,6
Senior,88051.05,Finance,27
Senior,84598.13,Marketing,28
Senior,86004.22,Marketing,19
Senior,101450.82,Tech,8
Senior,99542.21,Ops,20
Senior,79371.87,Finance,1
Senior,93954.7,Marketing,0
Senior,83644.1,Ops,25
Senior,122458.4,Finance,25
Senior,80018.68,Finance,14
Senior,85776.81,Tech,14
Senior,85290.09,Tech,20
Senior,84073.15,Tech,2
Senior,91904.91,Ops,18
Senior,93686.17,Ops,6
Senior,68149.29,Marketing,26
Senior,82262.97,Tech,20
Senior,72173.96,Finance,12
Senior,106688.77,Tech,15
Senior,123281.89,Marketing,22
Senior,108673.64,Ops,27
Senior,94674.15,Tech,7
Senior,103803.97,Tech,15
Senior,92251.94,Finance,0
Senior,112365.67,Finance,18
Senior,99016.51,Tech,12
Senior,86895.72,Finance,5
Senior,74751.06,Tech,13
Senior,81360.5,Tech,1
Senior,94236.71,Marketing,19
Senior,73451.21,Tech,8
Senior,87005.79,Finance,2
Senior,108089.01,Ops,21
Senior,90395.68,Finance,4
Senior,116802.71,Ops,20
Senior,109536.74,Finance,21
Senior,86117.0,Finance,18
Senior,71649.31,Tech,13
Senior,89351.44,Finance,3
Senior,83509.37,Ops,4
Senior,95099.67,Tech,1
Senior,111794.51,Tech,5
Senior,74838.1,Marketing,10
Senior,84752.17,Finance,24
Senior,94486.72,Finance,15
Senior,105322.14,Finance,0
Lead,113043.75,Finance,26
Lead,111525.19,Marketing,16
Lead,126176.65,Tech,4
Lead,112772.87,Marketing,5
Lead,101267.18,Finance,17
Lead,105902.24,Finance,18
Lead,93863.62,Finance,8
Lead,113609.97,Finance,0
Lead,119844.38,Marketing,21
Lead,58071.35,Ops,18
Lead,124185.84,Marketing,26
Lead,104109.8,Finance,2
Lead,112258.99,Finance,15
Lead,115432.39,Tech,26
Lead,68852.12,Finance,27
Lead,86164.11,Marketing,4
Lead,99753.66,Tech,26
Lead,92535.6,Marketing,29
Lead,109318.22,Tech,22
Lead,96890.17,Marketing,10
Lead,78050.63,Tech,10
Lead,114643.68,Marketing,18
Lead,122327.04,Finance,16
Lead,113888.55,Ops,10
Lead,93773.41,Ops,18
Lead,100891.46,Tech,0
Lead,113637.74,Finance,23
Lead,114500.39,Tech,2
Lead,120858.06,Tech,21
Lead,100362.79,Ops,5
Lead,82621.13,Ops,17
Lead,94306.59,Marketing,4
Lead,113408.69,Ops,1
Lead,116717.6,Tech,7
Lead,140044.53,Ops,24
Lead,106845.61,Ops,12
Lead,108852.68,Marketing,25
Lead,102207.54,Finance,13
Lead,98609.76,Ops,7
Lead,117312.96,Finance,20
Lead,110567.27,Ops,13
Lead,101735.35,Tech,20
Lead,87994.77,Finance,2
Lead,103061.65,Tech,23
Lead,98842.03,Marketing,24
Lead,124768.99,Finance,14
Lead,119917.24,Ops,5
Lead,88898.61,Finance,29
Lead,123382.9,Tech,13
Lead,95991.37,Marketing,24
Manager,122396.47,Ops,18
Manager,141649.39,Marketing,6
Manager,101554.45,Marketing,17
Manager,122887.18,Finance,25
Manager,99651.44,Tech,4
Manager,85056.61,Finance,22
Manager,137758.76,Finance,26
Manager,120508.09,Finance,27
Manager,105197.38,Finance,17
Manager,91442.07,Tech,20
Manager,112773.49,Tech,27
Manager,144159.23,Marketing,16
Manager,127244.44,Tech,15
Manager,113290.29,Marketing,5
Manager,107903.58,Ops,4
Manager,121904.62,Marketing,25
Manager,92148.5,Ops,27
Manager,144206.52,Tech,22
Manager,129057.41,Ops,17
Manager,141498.31,Tech,2
Manager,109856.9,Ops,18
Manager,135386.92,Tech,18
Manager,132382.29,Finance,13
Manager,92404.76,Tech,4
Manager,122681.29,Ops,8
Manager,125672.0,Finance,24
Manager,109651.48,Finance,11
Manager,113516.92,Ops,8
Manager,127851.34,Tech,15
Manager,119317.48,Ops,16
Manager,101915.11,Finance,6
Manager,130646.16,Marketing,16
Manager,124100.71,Finance,13
Manager,124485.22,Ops,3
Manager,121723.74,Ops,2
Manager,128082.39,Marketing,1
Manager,114851.96,Tech,28
