StudentID,Math,Science,English
1,85.3,62.9,51.2
2,59.4,75.0,28.2
3,65.4,64.7,33.5
4,69.9,58.8,56.7
5,55.5,57.6,71.4
6,65.0,64.9,58.7
7,65.0,67.3,67.1
8,43.9,61.8,43.5
9,77.2,67.2,39.9
10,72.2,54.6,73.3
11,57.5,70.1,67.4
12,62.9,52.1,59.5
13,71.1,68.1,79.2
14,61.9,77.0,45.7
15,62.1,80.9,53.7
16,47.6,87.1,75.4
17,71.7,54.4,87.6
18,66.5,77.6,60.1
19,68.3,82.1,85.2
20,46.7,79.8,51.0
21,84.8,60.7,64.9
22,66.9,74.1,57.4
23,60.4,88.6,36.2
24,89.3,55.0,63.9
25,64.5,74.8,74.0
26,47.6,81.1,57.8
27,60.1,63.0,58.9
28,37.5,75.8,80.9
29,77.6,59.3,41.3
30,60.0,61.9,37.5
31,56.1,61.8,50.2
32,77.9,71.9,42.1
33,45.2,69.1,80.2
34,71.4,79.5,64.6
35,40.2,60.6,47.0
36,57.1,68.7,50.8
37,50.5,79.6,102.9
38,82.5,75.6,50.8
39,86.2,56.8,48.6
40,61.0,76.7,64.6
41,75.1,65.2,69.6
42,62.8,73.9,63.3
43,71.8,73.0,46.4
44,56.0,82.2,42.6
45,44.5,71.2,68.9
46,43.4,51.5,59.2
47,69.6,56.3,35.4
48,92.0,77.3,77.6
49,68.2,67.4,71.6
50,58.7,81.4,56.4
51,87.9,72.7,56.1
52,67.8,62.5,63.5
53,66.2,80.8,49.7
54,68.0,61.9,39.8
55,63.4,49.5,64.8
56,61.3,90.6,38.4
57,47.8,50.9,65.9
58,71.0,76.4,38.4
59,63.9,79.4,58.5
60,79.3,71.5,58.0
61,60.6,53.2,86.7
62,42.1,80.2,44.0
63,63.8,55.6,38.8
64,85.4,56.6,50.3
65,60.4,66.4,43.1
66,54.3,77.9,51.2
67,50.7,73.0,66.3
68,52.4,78.1,71.6
69,61.4,65.6,84.9
70,50.8,68.3,48.9
71,83.0,58.6,99.6
72,61.6,66.8,89.7
73,66.3,75.9,56.9
74,82.3,67.0,25.6
75,83.0,74.8,58.8
76,62.4,64.3,61.1
77,69.0,64.1,25.5
78,73.8,70.4,61.1
79,62.7,68.1,57.0
80,43.7,75.9,48.2
81,72.9,71.8,69.4
82,75.7,87.4,75.1
83,70.0,67.8,52.7
84,53.9,67.7,63.4
85,62.6,59.6,50.2
86,57.9,70.2,48.2
87,61.4,76.8,61.2
88,80.6,62.6,67.9
89,83.4,69.5,51.6
90,73.0,77.2,26.8
91,71.6,68.7,68.8
92,73.1,64.8,36.1
93,64.9,79.7,61.8
94,64.1,71.0,86.7
95,56.9,74.0,59.7
96,64.3,81.7,42.2
97,92.1,81.5,38.1
98,75.4,66.5,77.6
99,60.9,64.7,59.7
100,59.3,72.8,68.1
101,54.6,68.7,73.9
102,69.5,51.0,59.3
103,69.7,82.8,55.4
104,47.7,70.2,45.8
105,70.8,77.4,13.8
106,58.2,58.3,37.2
107,82.1,82.9,59.0
108,66.9,64.1,57.4
109,85.6,68.9,66.1
110,59.5,56.0,58.1
111,61.5,68.3,62.4
112,68.6,67.7,71.8
113,77.7,68.1,46.7
114,71.8,74.4,55.7
115,50.2,70.6,35.9
116,67.2,79.8,74.6
117,65.3,65.3,60.6
118,59.9,60.0,67.3
119,57.2,69.8,83.1
120,86.0,76.3,76.2
121,60.3,82.4,59.1
122,54.8,78.1,71.8
123,72.6,52.3,38.5
124,66.6,73.8,66.5
125,64.1,84.6,62.1
126,74.4,70.6,35.7
127,70.9,64.8,80.1
128,69.3,73.1,49.4
129,76.6,65.0,70.2
130,68.4,76.4,53.7
131,57.6,69.9,74.9
132,60.7,83.9,79.7
133,58.7,75.0,47.5
134,67.5,62.8,37.0
135,52.1,76.0,58.0
136,43.0,79.4,72.7
137,66.1,64.3,54.4
138,49.0,65.7,50.8
139,41.6,46.9,67.3
140,69.5,79.0,18.6
141,5.0,4.0,3.0
142,8.0,9.0,7.0
143,98.0,97.0,95.0
144,99.0,98.0,97.0
145,100.0,99.0,98.0
146,3.0,6.0,5.0
147,97.0,100.0,99.0
148,2.0,1.0,0.0
149,101.0,103.0,100.0
150,102.0,105.0,101.0
