SaleID,Product,Region,SalesAmount,Units,Discount
1,Phone,West,5593.131141919679,59,0.35
2,Monitor,South,4192.266279513394,12,0.15
3,Phone,West,6692.968485266504,28,0.12
4,Laptop,East,4636.701687883435,64,0.33
5,Phone,West,5600.250326828947,80,0.27
6,Laptop,East,4791.440596307988,83,0.3
7,Tablet,East,3130.720617556486,53,0.34
8,Keyboard,North,5877.5331843272525,33,0.17
9,Keyboard,South,4735.529861579204,85,0.2
10,Phone,North,4774.76468053196,1,0.21
11,Monitor,West,5596.347303974451,28,0.18
12,Phone,East,2227.004863194992,73,0.08
13,Phone,West,2669.520967571841,38,0.05
14,Laptop,West,4422.026428240712,32,0.12
15,Monitor,West,5289.088842753326,41,0.4
16,Monitor,East,6307.666776170212,54,0.03
17,Keyboard,South,3854.1490261997033,62,0.26
18,Tablet,North,4594.768022545581,62,0.22
19,Laptop,South,5239.291222176705,83,0.05
20,Keyboard,East,5481.744304251482,59,0.24
21,Laptop,North,5435.229530497587,35,0.08
22,Laptop,North,5006.978138210335,69,0.26
23,Keyboard,South,4661.299953800119,56,0.3
24,Phone,West,3559.4877203179844,11,0.38
25,Monitor,West,5815.775397604357,3,0.24
26,Tablet,North,4101.476459350963,45,0.35
27,Monitor,North,4616.095463641463,74,0.06
28,Keyboard,West,4590.654875947321,55,0.35
29,Keyboard,West,6129.178186440747,58,0.06
30,Phone,West,4094.518366907596,52,0.11
31,Phone,West,4358.813618428031,57,0.32
32,Phone,South,5105.565233082283,95,0.25
33,Laptop,North,5324.30403534531,35,0.22
34,Phone,East,4925.175079859911,48,0.32
35,Monitor,South,4800.663021238356,77,0.11
36,Monitor,North,4267.756551300606,49,0.37
37,Tablet,South,5883.628801447447,55,0.11
38,Tablet,West,5733.847981104108,79,0.1
39,Monitor,North,5001.25130818336,64,0.15
40,Keyboard,West,5963.60987044778,1,0.3
41,Laptop,South,5408.959837105023,22,0.16
42,Keyboard,North,4392.2006520153645,91,0.29
43,Monitor,North,4228.101967675938,63,0.36
44,Phone,East,4715.710788658281,68,0.4
45,Keyboard,North,5411.299797667247,93,0.34
46,Monitor,North,6003.367426413963,85,0.34
47,Tablet,East,4864.720663899738,19,0.17
48,Monitor,North,5167.38237756761,56,0.11
49,Phone,North,3764.218301949092,94,0.35
50,Phone,West,6304.154541393701,40,0.39
51,Monitor,West,5670.274337971169,20,0.11
52,Phone,West,4045.765358358777,38,0.37
53,Keyboard,West,5393.672430799027,79,0.25
54,Keyboard,East,6255.827549473497,54,0.21
55,Monitor,East,6726.439604888701,91,0.19
56,Laptop,West,4667.982394904993,63,0.4
57,Laptop,North,7119.131701160478,11,0.12
58,Phone,North,4043.161597143539,41,0.03
59,Tablet,North,4229.1910265093575,43,0.24
60,Phone,West,4767.32097005992,79,0.26
61,Laptop,South,6920.770454880903,76,0.21
62,Monitor,South,3792.352763873376,78,0.3
63,Laptop,West,4313.046875388644,12,0.02
64,Monitor,West,7154.281274696645,80,0.37
65,Monitor,North,3372.049308246983,73,0.22
66,Tablet,East,3989.690438690191,96,0.02
67,Laptop,West,5153.94152541039,88,0.4
68,Laptop,West,3902.7715325485,70,0.01
69,Tablet,West,3535.8642625146795,59,0.32
70,Monitor,North,4777.709489095264,65,0.18
71,Tablet,West,4133.799583932409,18,0.13
72,Monitor,West,5045.5259441885255,32,0.23
73,Tablet,West,4891.203404206703,57,0.17
74,Keyboard,North,3532.978028460907,10,0.06
75,Laptop,West,5058.327354161983,69,0.17
76,Monitor,South,4958.147293183308,47,0.28
77,Tablet,North,4360.221415051075,72,0.37
